Enrollment Id,Company Name,Android APIs,Chrome APIs,SDK Names,Site
RPEW4,Sulvo LLC,Protected-Audience ,Protected-Audience Shared-Storage Topics ,,https://demand.supply
YRDFA,Superfine,Protected-Audience ,Attribution-Reporting Protected-Audience Topics ,,https://superfine.org
JUD2H,Supership Inc.,,Topics ,,https://socdm.com
4MCGY,THE NEWCO S.R.L.,Protected-Audience ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://tncid.app
KYFBB,TIKTOK PTE. LTD.,Attribution-Reporting ,Attribution-Reporting Topics ,,https://tiktok.com
6MP6Q,TOTVS LARGE ENTERPRISE TECNOLOGIA SA,,Attribution-Reporting Protected-Audience Shared-Storage Topics ,,https://tailtarget.com
TUEU7,TUEU7,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://datasmithlab.com
GEY6G,Tangoo SRL,,Protected-Audience Topics ,,https://tangooserver.com
R6BFT,Target Video GmbH (formerly Brid Video doo (Brid.Tv)),Protected-Audience Topics ,,tv.brid.sdk,https://brid.tv
UDAM9,Teads,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://teads.tv
376QP,Thank You Analytics,,Attribution-Reporting ,,https://tya-dev.com
7Y7JH,The Trade Desk,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://adsrvr.org
H9JV8,TopOn,Attribution-Reporting Protected-Audience Topics ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,com.anythink.sdk,https://toponad.com
VTN97,Topebox,Protected-Audience ,,,https://topebox.com
3E8A5,Trakken GmbH,,Attribution-Reporting Private-Aggregation Protected-Audience Topics ,,https://trkkn.com
2BYMQ,Transfon Ltd,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://pubtm.com
MDAR2,Trip.com Travel Singapore Pte. Ltd.,Attribution-Reporting ,Attribution-Reporting ,,https://trip.com
PEDPR,TripleLift Inc.,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://3lift.com
3TFJD,Triptease Ltd,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://triptease.io
JWQZ5,Undertone,,Attribution-Reporting Protected-Audience Topics ,,https://undertone.com
7QEN3,United Marketing Technologies Inc.,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://bypass.jp
GZRKK,United Marketing Technologies Inc.,,Protected-Audience Shared-Storage Topics ,,https://dreammail.jp
XZP6J,United Marketing Technologies Inc.,Protected-Audience Topics ,Private-Aggregation Protected-Audience Shared-Storage Topics ,com.ad_stir.develop.adstirwebviewsdk,https://ad-stir.com
FR3MW,Unity Technologies,Attribution-Reporting Protected-Audience Topics ,,com.unity3d.ads com.unity3d.ads.sdkruntime,https://unity3d.com
3F2UQ,Universo Online S/A,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://uol.com.br
9UDTY,VK LLC,Attribution-Reporting Protected-Audience Topics ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,com.my.target,https://mail.ru
ZK7QW,VPON TAIWAN INC.,Attribution-Reporting Protected-Audience Topics ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,com.vpon.ads,https://vpadn.com
T5WFH,Verdens Gang AS,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://vg.no
TE565,Verve Group,Protected-Audience Topics ,Private-Aggregation Protected-Audience Shared-Storage Topics ,net.pubnative.lite.sdk,https://verve.com
PWAF4,Vidazoo Ltd.,,Protected-Audience Topics ,,https://vidazoo.com
56UJ4,Virtuaconcept,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://ayads.io
XZJHV,Virtual Minds GmbH,,Attribution-Reporting Protected-Audience Topics ,,https://yieldlab.net
M2XT6,WP Company LLC,Protected-Audience ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://washingtonpost.com
74B7K,Weborama SAS,,Attribution-Reporting Private-Aggregation Shared-Storage ,,https://weborama-tech.ru
J7P9Q,Weborama SAS,Attribution-Reporting ,Attribution-Reporting Private-Aggregation Shared-Storage ,,https://weborama.fr
E8EA2,Wirtualna Polska Holding,,Protected-Audience ,,https://wp.pl
AKPK3,World History Publishing Ltd,,Protected-Audience Topics ,,https://worldhistory.org
DF832,Wunderkind,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://bounceexchange.com
XVU54,XVU54,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://theryn.io
822UY,YRGLM Inc,,Attribution-Reporting ,,https://ebis.ne.jp
QKTPX,Yahoo Inc,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://yahoo.com
ARX6U,Yandex,Protected-Audience Topics ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,com.yandex.android:mobileads,https://yandex.ru
TMAHE,Yelp,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://yelp.com
7UM4P,Yieldmo,Attribution-Reporting Protected-Audience ,Attribution-Reporting Protected-Audience Shared-Storage Topics ,,https://yieldmo.com
Q2TVW,YipitData,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://yipitdata.com
N2U43,ZAM Network LLC,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://fanbyte.com
NCWCW,Zeta Global,,Protected-Audience Topics ,,https://disqus.com
H8XZH,admitad GmbH,Protected-Audience ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://admitad.com
69R2E,aniview,,Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://aniview.com
3J2UJ,eBay,,Attribution-Reporting ,,https://ebayadservices.com
FTA5F,easy Marketing GmbH,Attribution-Reporting Protected-Audience ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://mediaintelligence.de
NZQP8,enliple,,Topics ,,https://mobon.net
24BP4,fluct Inc.,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://adingo.jp
29MZX,i mobile Co.Ltd.,,Attribution-Reporting Topics ,,https://i-mobile.co.jp
GGRXM,iObeya,,Attribution-Reporting Protected-Audience Topics ,,https://iobeya.com
37T3X,justtrack GmbH,Attribution-Reporting ,,,https://justtrack.io
N4Q62,remerge GmbH,Attribution-Reporting Protected-Audience ,,,https://remerge.sb
B98AH,taboola.com,Attribution-Reporting Protected-Audience Topics ,Attribution-Reporting Protected-Audience Topics ,com.taboola.android,https://taboola.com
2BPT6,yettiesoft,,Shared-Storage ,,https://yets.io
